codi_ine,nom
082384,Sant Quirze del Vallès
082397,Sant Quirze Safaja
251945,Sant Ramon
082401,Sant Sadurní d'Anoia
082418,Sant Sadurní d'Osormort
080983,Sant Salvador de Guardiola
082628,Sant Vicenç de Castellet
082649,Sant Vicenç de Montalt
082652,Sant Vicenç de Torelló
082634,Sant Vicenç dels Horts
431384,Santa Bàrbara
082439,Santa Cecília de Voltregà
082444,Santa Coloma de Cervelló
171805,Santa Coloma de Farners
082457,Santa Coloma de Gramenet
431397,Santa Coloma de Queralt
171812,Santa Cristina d'Aro
082460,Santa Eugènia de Berga
082476,Santa Eulàlia de Riuprimer
082482,Santa Eulàlia de Ronçana
082495,Santa Fe del Penedès
171827,Santa Llogaia d'Àlguema
082508,Santa Margarida de Montbui
082515,Santa Margarida i els Monjos
082589,Santa Maria d'Oló
082536,Santa Maria de Besora
082567,Santa Maria de Martorelles
082554,Santa Maria de Merlès
082573,Santa Maria de Miralles
082592,Santa Maria de Palautordera
431401,Santa Oliva
171848,Santa Pau
082606,Santa Perpètua de Mogoda
082613,Santa Susanna
081923,Santpedor
431423,Sarral
171864,Sarrià de Ter
252017,Sarroca de Bellera
252000,Sarroca de Lleida
171870,"Saus, Camallera i Llampaies"
431439,Savallà del Comtat
431444,"Secuita, la"
171886,"Selva de Mar, la"
431457,"Selva del Camp, la"
431460,Senan
430445,"Sénia, la"
252022,Senterada
250352,"Sentiu de Sió, la"
082671,Sentmenat
171903,Serinyà
252043,Seròs
171910,Serra de Daró
171925,Setcases
252038,"Seu d'Urgell, la"
082690,Seva
252056,Sidamon
171931,Sils
082704,Sitges
170524,Siurana
082711,Sobremunt
252069,"Soleràs, el"
431476,Solivella
252075,Solsona
082726,Sora
252081,Soriguera
252094,Sort
252108,Soses
082732,Subirats
252115,Sudanell
252120,Sunyer
082747,Súria
171946,Susqueda
082763,Tagamanent
082779,Talamanca
252154,Talarn
252167,Talavera
171959,"Tallada d'Empordà, la"
082785,Taradell
431482,Tarragona
252173,Tàrrega
252189,Tarrés
252192,Tarroja de Segarra
082750,Tavèrnoles
082802,Tavertet
082819,Teià
252206,Térmens
171962,Terrades
082798,Terrassa
082824,Tiana
252213,Tírvia
252228,Tiurana
431495,Tivenys
431508,Tivissa
082830,Tona
252234,Torà
082845,Tordera
082858,Torelló
252249,"Torms, els"
252252,Tornabous
252271,"Torre de Cabdella, la"
082861,"Torre de Claramunt, la"
431515,"Torre de Fontaubella, la"
431520,"Torre de l'Espanyol, la"
252332,Torre-serona
252265,Torrebesses
431536,Torredembarra
252287,Torrefarrera
259078,Torrefeta i Florejacs
252304,Torregrossa
252311,Torrelameu
082877,Torrelavit
082883,Torrelles de Foix
082896,Torrelles de Llobregat
171978,Torrent
252326,Torres de Segre
171984,Torroella de Fluvià
171997,Torroella de Montgrí
431541,Torroja del Priorat
172001,Tortellà
431554,Tortosa
172018,Toses
172023,Tossa de Mar
252347,Tremp
172044,Ullà
082900,Ullastrell
172057,Ullastret
431567,Ulldecona
431573,Ulldemolins
172039,Ultramort
172060,Urús
082917,Vacarisses
170144,"Vajol, la"
172076,"Vall d'en Bas, la"
172082,"Vall de Bianya, la"
250432,"Vall de Boí, la"
259010,Vall de Cardós
172095,Vall-llobrega
082922,Vallbona d'Anoia
252385,Vallbona de les Monges
082938,Vallcebre
431589,Vallclara
252402,Vallfogona de Balaguer
171707,Vallfogona de Ripollès
431592,Vallfogona de Riucorb
082943,Vallgorguina
082956,Vallirana
431606,Vallmoll
082969,Vallromanes
431613,Valls
259062,"Valls d'Aguilar, les"
252398,"Valls de Valira, les"
431628,Vandellòs i l'Hospitalet de l'Infant
259097,"Vansa i Fórnols, la"
082975,Veciana
431634,"Vendrell, el"
172109,Ventalló
252424,Verdú
172116,Verges
431649,Vespella de Gaià
082981,Vic
172121,Vidrà
172137,Vidreres
252430,Vielha e Mijaran
431704,Vila-rodona
172305,Vila-sacra
252521,Vila-sana
431711,Vila-seca
431652,Vilabella
172142,Vilabertran
172155,Vilablareix
082994,Vilada
172174,Viladamat
172168,Viladasens
083015,Viladecans
083008,Viladecavalls
172180,Vilademuls
172207,Viladrau
172214,Vilafant
083054,Vilafranca del Penedès
252445,Vilagrassa
172235,Vilajuïga
431750,Vilalba dels Arcs
083067,Vilalba Sasserra
252458,Vilaller
172240,Vilallonga de Ter
431665,Vilallonga del Camp
172253,Vilamacolum
172266,Vilamalla
172272,Vilamaniscle
252477,Vilamòs
172288,Vilanant
431671,Vilanova d'Escornalbou
252483,Vilanova de Bellpuig
252496,Vilanova de l'Aguda
252542,Vilanova de la Barca
252509,Vilanova de Meià
431687,Vilanova de Prades
083036,Vilanova de Sau
252516,Vilanova de Segrià
083020,Vilanova del Camí
089024,Vilanova del Vallès
083073,Vilanova i la Geltrú
431690,Vilaplana
082140,Vilassar de Dalt
082191,Vilassar de Mar
172229,Vilaür
431726,Vilaverd
431732,"Vilella Alta, la"
431747,"Vilella Baixa, la"
172333,Vilobí d'Onyar
083041,Vilobí del Penedès
172327,Vilopriu
252537,"Vilosell, el"
431763,Vimbodí i Poblet
252555,Vinaixa
431779,Vinebre
431785,Vinyols i els Arcs
083089,Viver i Serrateix
430521,Xerta
